"Number";"Ettevõtja nimi";"Registrikood";"Kehtivuse algus";"Kehtivuse lõpp";"Kehtiv";"Tegevusala";"Lisainfo"
"KTO025579";"Keepsake OÜ";"17433341";"20.05.2026";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025577";"OÜ KRISTIFT";"12126969";"20.05.2026";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025578";"Magusakamber OÜ";"17418353";"20.05.2026";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025576";"istume OÜ";"17509593";"19.05.2026";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025575";"Torgu KVH OÜ";"14932902";"19.05.2026";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025573";"osaühing Aliide Pagarikoda";"11686331";"15.05.2026";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025574";"Rx holding OÜ";"17408415";"15.05.2026";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025571";"Rx Eternal OÜ";"17365651";"14.05.2026";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025572";"ULDUZ DARIA OÜ";"17181974";"14.05.2026";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025569";"Goldestate OÜ";"17495247";"13.05.2026";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025570";"Essu Selts";"80189649";"13.05.2026";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025567";"Muru ja mull OÜ";"17502651";"12.05.2026";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025568";"KorraldusPartner OÜ";"17392033";"12.05.2026";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025565";"Tams Chow OÜ";"17461610";"11.05.2026";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025563";"EVTIM OÜ";"17382678";"11.05.2026";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025564";"Annave OÜ";"17489040";"11.05.2026";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025566";"Maitseladu OÜ";"16925483";"11.05.2026";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025562";"Luha Pagar OÜ";"16468923";"10.05.2026";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025561";"Sapore Cucina OÜ";"17502728";"08.05.2026";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025560";"Plastekor OÜ";"12026281";"07.05.2026";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025559";"Lahe Talu Köök OÜ";"17146328";"07.05.2026";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025558";"Gravitas Hospitality OÜ";"17433683";"07.05.2026";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025555";"Gruusia maja OÜ";"17483557";"06.05.2026";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025557";"BeerBarrel OÜ";"16848933";"06.05.2026";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025556";"MK Elamused OÜ";"16779439";"06.05.2026";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025554";"Oolwere OÜ";"17380768";"05.05.2026";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025550";"Midnight OÜ";"17497157";"05.05.2026";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025553";"OÜ Flerry";"17335259";"05.05.2026";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025552";"Kaarli Pagar OÜ";"17471258";"05.05.2026";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025551";"EGE FOOD OÜ";"17406153";"05.05.2026";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025548";"Energyfy OÜ";"14995908";"04.05.2026";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025549";"Koduematoit OÜ";"16734158";"04.05.2026";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025546";"GARAGE FOOD OÜ";"17473582";"30.04.2026";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025547";"Flyingstar OÜ";"17044941";"30.04.2026";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025545";"Fire&Meat OÜ";"17343827";"29.04.2026";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025544";"OÜ Gurmann Group";"11537594";"29.04.2026";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025542";"Reketikeskus OÜ";"16900119";"27.04.2026";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025543";"Valgeranna Veinitall OÜ";"16252471";"27.04.2026";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025541";"Pärnu Varahalduse OÜ";"17438350";"25.04.2026";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025511";"Kukerpuu OÜ";"14213001";"25.04.2026";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025540";"EikeFoods OÜ";"17285585";"24.04.2026";"Tähtajatu";"Jah";"Toitlustamine";""
