registrikood;nimi;riik_kood;url;load_luba_tyyp;load_luba_number;load_luba_staatus;load_luba_url;load_luba_valdkond;load_luba_tegevusala;load_luba_emtak_kood;load_luba_kehtiv_alates;load_luba_kehtiv_kuni;load_luba_emtak
10015238;AS Alexela;EST;https://mtr.ttja.ee/juriidiline_isik/64084;Majandustegevusteade;KTO024115;kehtiv;https://mtr.ttja.ee/taotluse_tulemus/586125;Kaubandus;Toitlustamine;56301;2022-07-14;;
10020438;Osaühing T.R. TAMME AUTO;EST;https://mtr.ttja.ee/juriidiline_isik/65870;Majandustegevusteade;KTO025188;kehtiv;https://mtr.ttja.ee/taotluse_tulemus/653879;Kaubandus;Toitlustamine;56301;2025-04-22;;
10048350;MERITON HOTELS OÜ;EST;https://mtr.ttja.ee/juriidiline_isik/60852;Majandustegevusteade;KTO002671;kehtiv;https://mtr.ttja.ee/taotluse_tulemus/297414;Kaubandus;Toitlustamine;56301;2005-04-12;;
10048350;MERITON HOTELS OÜ;EST;https://mtr.ttja.ee/juriidiline_isik/60852;Majandustegevusteade;KTO002672;kehtiv;https://mtr.ttja.ee/taotluse_tulemus/295342;Kaubandus;Toitlustamine;56301;2005-04-12;;
10048350;MERITON HOTELS OÜ;EST;https://mtr.ttja.ee/juriidiline_isik/60852;Majandustegevusteade;KTO002675;kehtiv;https://mtr.ttja.ee/taotluse_tulemus/295185;Kaubandus;Toitlustamine;56301;2005-04-12;;
10048350;MERITON HOTELS OÜ;EST;https://mtr.ttja.ee/juriidiline_isik/60852;Majandustegevusteade;KTO013485;kehtiv;https://mtr.ttja.ee/taotluse_tulemus/295501;Kaubandus;Toitlustamine;56301;2010-11-05;;
10048350;MERITON HOTELS OÜ;EST;https://mtr.ttja.ee/juriidiline_isik/60852;Majandustegevusteade;KTO013486;kehtiv;https://mtr.ttja.ee/taotluse_tulemus/296572;Kaubandus;Toitlustamine;56301;2010-11-05;;
10048350;MERITON HOTELS OÜ;EST;https://mtr.ttja.ee/juriidiline_isik/60852;Majandustegevusteade;KTO013487;kehtiv;https://mtr.ttja.ee/taotluse_tulemus/294668;Kaubandus;Toitlustamine;56301;2010-11-05;;
10048350;MERITON HOTELS OÜ;EST;https://mtr.ttja.ee/juriidiline_isik/60852;Majandustegevusteade;KTO013488;kehtiv;https://mtr.ttja.ee/taotluse_tulemus/293871;Kaubandus;Toitlustamine;56301;2010-11-05;;
10048350;MERITON HOTELS OÜ;EST;https://mtr.ttja.ee/juriidiline_isik/60852;Majandustegevusteade;KTO013489;kehtiv;https://mtr.ttja.ee/taotluse_tulemus/297745;Kaubandus;Toitlustamine;56301;2010-11-05;;
10048350;MERITON HOTELS OÜ;EST;https://mtr.ttja.ee/juriidiline_isik/60852;Majandustegevusteade;KTO013490;kehtiv;https://mtr.ttja.ee/taotluse_tulemus/294547;Kaubandus;Toitlustamine;56301;2010-11-05;;
10048350;MERITON HOTELS OÜ;EST;https://mtr.ttja.ee/juriidiline_isik/60852;Majandustegevusteade;KTO013491;kehtiv;https://mtr.ttja.ee/taotluse_tulemus/296283;Kaubandus;Toitlustamine;56301;2010-11-05;;
10048350;MERITON HOTELS OÜ;EST;https://mtr.ttja.ee/juriidiline_isik/60852;Majandustegevusteade;KTO013717;kehtiv;https://mtr.ttja.ee/taotluse_tulemus/295034;Kaubandus;Toitlustamine;56301;2011-01-27;;
10060629;tulundusühistu Šeiker;EST;https://mtr.ttja.ee/juriidiline_isik/60289;Majandustegevusteade;KTO010124;kehtiv;https://mtr.ttja.ee/taotluse_tulemus/296347;Kaubandus;Toitlustamine;56301;2009-06-02;;
10060629;tulundusühistu Šeiker;EST;https://mtr.ttja.ee/juriidiline_isik/60289;Majandustegevusteade;KTO015719;kehtiv;https://mtr.ttja.ee/taotluse_tulemus/295863;Kaubandus;Toitlustamine;56301;2012-05-08;;
10061209;Osaühing AHTME MAJA;EST;https://mtr.ttja.ee/juriidiline_isik/62555;Majandustegevusteade;KTO001131;kehtiv;https://mtr.ttja.ee/taotluse_tulemus/297789;Kaubandus;Toitlustamine;56301;2004-08-24;;
10067577;Famino OÜ;EST;https://mtr.ttja.ee/juriidiline_isik/60793;Majandustegevusteade;KTO011889;kehtiv;https://mtr.ttja.ee/taotluse_tulemus/294533;Kaubandus;Toitlustamine;56301;2010-04-29;;
10067577;Famino OÜ;EST;https://mtr.ttja.ee/juriidiline_isik/60793;Majandustegevusteade;KTO011975;kehtiv;https://mtr.ttja.ee/taotluse_tulemus/294678;Kaubandus;Toitlustamine;56301;2010-05-13;;
10068915;P. DUSSMANN EESTI Osaühing;EST;https://mtr.ttja.ee/juriidiline_isik/67692;Majandustegevusteade;KTO017056;kehtiv;https://mtr.ttja.ee/taotluse_tulemus/295438;Kaubandus;Toitlustamine;56301;2012-10-12;;
10110942;Osaühing RAUER;EST;https://mtr.ttja.ee/juriidiline_isik/66218;Majandustegevusteade;KTO003017;kehtiv;https://mtr.ttja.ee/taotluse_tulemus/297825;Kaubandus;Toitlustamine;56301;2005-04-19;;
10133127;Tulundusühistu INKERI;EST;https://mtr.ttja.ee/juriidiline_isik/60737;Majandustegevusteade;KTO001994;kehtiv;https://mtr.ttja.ee/taotluse_tulemus/296803;Kaubandus;Toitlustamine;56301;2005-03-01;;
10133512;Frozen.BRO OÜ;EST;https://mtr.ttja.ee/juriidiline_isik/65803;Majandustegevusteade;KTO003137;kehtiv;https://mtr.ttja.ee/taotluse_tulemus/294192;Kaubandus;Toitlustamine;56301;2005-04-22;;
10136870;aktsiaselts Olerex;EST;https://mtr.ttja.ee/juriidiline_isik/64080;Majandustegevusteade;KTO007663;kehtiv;https://mtr.ttja.ee/taotluse_tulemus/295532;Kaubandus;Toitlustamine;56301;2007-11-06;;
10136870;aktsiaselts Olerex;EST;https://mtr.ttja.ee/juriidiline_isik/64080;Majandustegevusteade;KTO015276;kehtiv;https://mtr.ttja.ee/taotluse_tulemus/296256;Kaubandus;Toitlustamine;56301;2011-11-04;;
10136870;aktsiaselts Olerex;EST;https://mtr.ttja.ee/juriidiline_isik/64080;Majandustegevusteade;KTO019573;kehtiv;https://mtr.ttja.ee/taotluse_tulemus/297465;Kaubandus;Toitlustamine;56301;2014-05-26;;
10152142;"osaühing ""LEDIN""";EST;https://mtr.ttja.ee/juriidiline_isik/71390;Majandustegevusteade;KTO009153;kehtiv;https://mtr.ttja.ee/taotluse_tulemus/297810;Kaubandus;Toitlustamine;56301;2008-09-03;;
10185041;aktsiaselts Aide;EST;https://mtr.ttja.ee/juriidiline_isik/68122;Majandustegevusteade;KTO001691;kehtiv;https://mtr.ttja.ee/taotluse_tulemus/295707;Kaubandus;Toitlustamine;56301;2004-12-28;;
10209215;osaühing Reivali Ehitus;EST;https://mtr.ttja.ee/juriidiline_isik/66359;Majandustegevusteade;KTO001662;kehtiv;https://mtr.ttja.ee/taotluse_tulemus/294328;Kaubandus;Toitlustamine;56301;2004-12-21;;
10224203;Tallinna Raamatutrükikoja Osaühing;EST;https://mtr.ttja.ee/juriidiline_isik/61514;Majandustegevusteade;KTO002418;kehtiv;https://mtr.ttja.ee/taotluse_tulemus/295213;Kaubandus;Toitlustamine;56301;2005-04-01;;
10228661;Aktsiaselts AUTOTRANS-NARVA;EST;https://mtr.ttja.ee/juriidiline_isik/82488;Majandustegevusteade;KTO009639;kehtiv;https://mtr.ttja.ee/taotluse_tulemus/295282;Kaubandus;Toitlustamine;56301;2009-02-18;;
10238429;Aktsiaselts Tallink Grupp;EST;https://mtr.ttja.ee/juriidiline_isik/61881;Majandustegevusteade;KTO001261;kehtiv;https://mtr.ttja.ee/taotluse_tulemus/294862;Kaubandus;Toitlustamine;56301;2004-09-10;;
10238429;Aktsiaselts Tallink Grupp;EST;https://mtr.ttja.ee/juriidiline_isik/61881;Majandustegevusteade;KTO001263;kehtiv;https://mtr.ttja.ee/taotluse_tulemus/294755;Kaubandus;Toitlustamine;56301;2004-09-10;;
10238429;Aktsiaselts Tallink Grupp;EST;https://mtr.ttja.ee/juriidiline_isik/61881;Majandustegevusteade;KTO001264;kehtiv;https://mtr.ttja.ee/taotluse_tulemus/295700;Kaubandus;Toitlustamine;56301;2004-09-10;;
10238429;Aktsiaselts Tallink Grupp;EST;https://mtr.ttja.ee/juriidiline_isik/61881;Majandustegevusteade;KTO001265;kehtiv;https://mtr.ttja.ee/taotluse_tulemus/294863;Kaubandus;Toitlustamine;56301;2004-09-10;;
10238429;Aktsiaselts Tallink Grupp;EST;https://mtr.ttja.ee/juriidiline_isik/61881;Majandustegevusteade;KTO001266;kehtiv;https://mtr.ttja.ee/taotluse_tulemus/294756;Kaubandus;Toitlustamine;56301;2004-09-10;;
10238429;Aktsiaselts Tallink Grupp;EST;https://mtr.ttja.ee/juriidiline_isik/61881;Majandustegevusteade;KTO001267;kehtiv;https://mtr.ttja.ee/taotluse_tulemus/295701;Kaubandus;Toitlustamine;56301;2004-09-10;;
10238429;Aktsiaselts Tallink Grupp;EST;https://mtr.ttja.ee/juriidiline_isik/61881;Majandustegevusteade;KTO001268;kehtiv;https://mtr.ttja.ee/taotluse_tulemus/294864;Kaubandus;Toitlustamine;56301;2004-09-10;;
10238429;Aktsiaselts Tallink Grupp;EST;https://mtr.ttja.ee/juriidiline_isik/61881;Majandustegevusteade;KTO001269;kehtiv;https://mtr.ttja.ee/taotluse_tulemus/297796;Kaubandus;Toitlustamine;56301;2004-09-10;;
10238429;Aktsiaselts Tallink Grupp;EST;https://mtr.ttja.ee/juriidiline_isik/61881;Majandustegevusteade;KTO001270;kehtiv;https://mtr.ttja.ee/taotluse_tulemus/295702;Kaubandus;Toitlustamine;56301;2004-09-10;;
10238429;Aktsiaselts Tallink Grupp;EST;https://mtr.ttja.ee/juriidiline_isik/61881;Majandustegevusteade;KTO001272;kehtiv;https://mtr.ttja.ee/taotluse_tulemus/297797;Kaubandus;Toitlustamine;56301;2004-09-10;;
10238429;Aktsiaselts Tallink Grupp;EST;https://mtr.ttja.ee/juriidiline_isik/61881;Majandustegevusteade;KTO001273;kehtiv;https://mtr.ttja.ee/taotluse_tulemus/296160;Kaubandus;Toitlustamine;56301;2004-09-10;;
10238429;Aktsiaselts Tallink Grupp;EST;https://mtr.ttja.ee/juriidiline_isik/61881;Majandustegevusteade;KTO001285;kehtiv;https://mtr.ttja.ee/taotluse_tulemus/297377;Kaubandus;Toitlustamine;56301;2004-09-10;;
10238429;Aktsiaselts Tallink Grupp;EST;https://mtr.ttja.ee/juriidiline_isik/61881;Majandustegevusteade;KTO006446;kehtiv;https://mtr.ttja.ee/taotluse_tulemus/295130;Kaubandus;Toitlustamine;56301;2007-04-17;;
10238429;Aktsiaselts Tallink Grupp;EST;https://mtr.ttja.ee/juriidiline_isik/61881;Majandustegevusteade;KTO007561;kehtiv;https://mtr.ttja.ee/taotluse_tulemus/295325;Kaubandus;Toitlustamine;56301;2007-09-25;;
