registrikood;nimi;staatus;kehtiv_alates;kehtiv_kuni
10015238;AS Alexela;kehtiv;2022-07-14;
10020438;Osaühing T.R. TAMME AUTO;kehtiv;2025-04-22;
10048350;MERITON HOTELS OÜ;kehtiv;2005-04-12;
10048350;MERITON HOTELS OÜ;kehtiv;2005-04-12;
10048350;MERITON HOTELS OÜ;kehtiv;2005-04-12;
10048350;MERITON HOTELS OÜ;kehtiv;2010-11-05;
10048350;MERITON HOTELS OÜ;kehtiv;2010-11-05;
10048350;MERITON HOTELS OÜ;kehtiv;2010-11-05;
10048350;MERITON HOTELS OÜ;kehtiv;2010-11-05;
10048350;MERITON HOTELS OÜ;kehtiv;2010-11-05;
10048350;MERITON HOTELS OÜ;kehtiv;2010-11-05;
10048350;MERITON HOTELS OÜ;kehtiv;2010-11-05;
10048350;MERITON HOTELS OÜ;kehtiv;2011-01-27;
10060629;tulundusühistu Šeiker;kehtiv;2009-06-02;
10060629;tulundusühistu Šeiker;kehtiv;2012-05-08;
10061209;Osaühing AHTME MAJA;kehtiv;2004-08-24;
10067577;Famino OÜ;kehtiv;2010-04-29;
10067577;Famino OÜ;kehtiv;2010-05-13;
10068915;P. DUSSMANN EESTI Osaühing;kehtiv;2012-10-12;
10110942;Osaühing RAUER;kehtiv;2005-04-19;
10133127;Tulundusühistu INKERI;kehtiv;2005-03-01;
10133512;Frozen.BRO OÜ;kehtiv;2005-04-22;
10136870;aktsiaselts Olerex;kehtiv;2007-11-06;
10136870;aktsiaselts Olerex;kehtiv;2011-11-04;
10136870;aktsiaselts Olerex;kehtiv;2014-05-26;
10152142;"osaühing ""LEDIN""";kehtiv;2008-09-03;
10185041;aktsiaselts Aide;kehtiv;2004-12-28;
10209215;osaühing Reivali Ehitus;kehtiv;2004-12-21;
10224203;Tallinna Raamatutrükikoja Osaühing;kehtiv;2005-04-01;
10228661;Aktsiaselts AUTOTRANS-NARVA;kehtiv;2009-02-18;
10238429;Aktsiaselts Tallink Grupp;kehtiv;2004-09-10;
10238429;Aktsiaselts Tallink Grupp;kehtiv;2004-09-10;
10238429;Aktsiaselts Tallink Grupp;kehtiv;2004-09-10;
10238429;Aktsiaselts Tallink Grupp;kehtiv;2004-09-10;
10238429;Aktsiaselts Tallink Grupp;kehtiv;2004-09-10;
10238429;Aktsiaselts Tallink Grupp;kehtiv;2004-09-10;
10238429;Aktsiaselts Tallink Grupp;kehtiv;2004-09-10;
10238429;Aktsiaselts Tallink Grupp;kehtiv;2004-09-10;
10238429;Aktsiaselts Tallink Grupp;kehtiv;2004-09-10;
10238429;Aktsiaselts Tallink Grupp;kehtiv;2004-09-10;
10238429;Aktsiaselts Tallink Grupp;kehtiv;2004-09-10;
10238429;Aktsiaselts Tallink Grupp;kehtiv;2004-09-10;
10238429;Aktsiaselts Tallink Grupp;kehtiv;2007-04-17;
10238429;Aktsiaselts Tallink Grupp;kehtiv;2007-09-25;
10238429;Aktsiaselts Tallink Grupp;kehtiv;2007-11-13;
10238429;Aktsiaselts Tallink Grupp;kehtiv;2008-04-18;
10238429;Aktsiaselts Tallink Grupp;kehtiv;2009-04-21;
10238429;Aktsiaselts Tallink Grupp;kehtiv;2012-06-25;
10238429;Aktsiaselts Tallink Grupp;kehtiv;2013-01-17;
10273940;aktsiaselts AA-LAN;kehtiv;2005-03-29;
10291205;Põltsamaa Vallavara OÜ;kehtiv;2020-09-13;
10309112;Osaühing Granqvistal;kehtiv;2005-11-22;
10320823;BUENO OÜ;kehtiv;2005-04-15;
10344321;Aktsiaselts Saku Maja;kehtiv;2005-04-11;
10349560;Aktsiaselts Tallinna Lennujaam;kehtiv;2004-12-28;
10349560;Aktsiaselts Tallinna Lennujaam;kehtiv;2006-04-25;
10358671;Aktsiaselts Varbla Puhkeküla;kehtiv;2005-04-22;
10378604;Padise Grupp OÜ;kehtiv;2005-04-15;
10428638;osaühing TULIHEIN;kehtiv;2005-06-01;
10433792;OÜ La Casa Nostra;kehtiv;2024-07-19;
10541949;AS GoRail;kehtiv;2007-05-16;
10541949;AS GoRail;kehtiv;2007-05-16;
10541949;AS GoRail;kehtiv;2007-05-16;
10541949;AS GoRail;kehtiv;2007-06-27;
10553579;Amintor OÜ;kehtiv;2005-04-06;
