"Number";"Ettevõtja nimi";"Registrikood";"Kehtivuse algus";"Kehtiv";"Tegevusala";"Tegevuskoha aadress"
"KTO025441";"Vale Aadress Usaldusühing";"17264306";"29.12.2025";"Jah";"Toitlustamine";"Rüütli tn 40, Pärnu linn, Pärnu linn, Pärnu maakond, 80010"
"KTO025440";"someoneelse OÜ";"16765710";"23.12.2025";"Jah";"Toitlustamine";"Luha tn 9-4, Kesklinna linnaosa, Tallinn, Harju maakond, 10129"
"KTO025439";"RAYAN OÜ";"16639744";"22.12.2025";"Jah";"Toitlustamine";"Ringi tn 11-1, Pärnu linn, Pärnu linn, Pärnu maakond"
"KTO025438";"PeakSound OÜ";"17113665";"11.12.2025";"Jah";"Toitlustamine";"Tartu tn 44a, Võru linn, Võru maakond, 65609"
"KTO025436";"Palu Group OÜ";"16610083";"10.12.2025";"Jah";"Toitlustamine";"Järve mõisaallee 1, Järve küla, Jõhvi vald, Ida-Viru maakond, 30331"
"KTO025437";"Tahe teenus OÜ";"17379788";"10.12.2025";"Jah";"Toitlustamine";"Nurme tn 15, Tamsalu linn, Tapa vald, Lääne-Viru maakond, 46106"
"KTO025435";"Shah Ray OÜ";"17357752";"09.12.2025";"Jah";"Toitlustamine";"Randvere tee 115, Pirita linnaosa, Tallinn, Harju maakond, 11913"
"KTO025434";"Ekspeditsioon OÜ";"14878002";"09.12.2025";"Jah";"Toitlustamine";"Kopli tn 70a, Põhja-Tallinna linnaosa, Tallinn, Harju maakond, 10412"
"KTO025433";"Kohvimeistrid OÜ";"17211391";"05.12.2025";"Jah";"Toitlustamine";"A. Starkopfi tn 1, Tartu linn, Tartu linn, Tartu maakond, 51011"
"KTO025430";"OÜ Särav Üks";"16742844";"03.12.2025";"Jah";"Toitlustamine";"Kungla tn 18-17, Põhja-Tallinna linnaosa, Tallinn, Harju maakond, 10411"
"KTO025428";"Jõulukohvik OÜ";"17374957";"02.12.2025";"Jah";"Toitlustamine";""
"KTO025429";"M33 Management OÜ";"17239509";"02.12.2025";"Jah";"Toitlustamine";"Merivälja tee 33, Pirita linnaosa, Tallinn, Harju maakond, 11911"
"KTO025426";"Sevfreya OÜ";"17379558";"01.12.2025";"Jah";"Toitlustamine";"Pärnamäe tee 4, Laiaküla, Viimsi vald, Harju maakond, 74008"
"KTO025427";"PoliVento OÜ";"17282592";"01.12.2025";"Jah";"Toitlustamine";"Keemikute tn 2, Maardu linn, Harju maakond, 74116"
"KTO025423";"Väike Mahedik OÜ";"14232010";"28.11.2025";"Jah";"Toitlustamine";"Suitsu, Metsanurga küla, Peipsiääre vald, Tartu maakond, 49409"
"KTO025424";"JL Toitlustus OÜ";"17372792";"28.11.2025";"Jah";"Toitlustamine";"Võru tn 79, Tartu linn, Tartu linn, Tartu maakond, 50112"
"KTO025425";"Ääremaa Pagar OÜ";"17074155";"28.11.2025";"Jah";"Toitlustamine";"Kesk tn 20, Mehikoorma alevik, Räpina vald, Põlva maakond, 62511"
"KTO025418";"Pronta OÜ";"17224241";"27.11.2025";"Jah";"Toitlustamine";"Seminari tn 5, Võru linn, Võru maakond, 65608"
